name,file,url,artist,license,license_url,usable
七里ヶ浜,File:Shichirigahama zu LCCN2009615426.tif,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Shichirigahama_zu_LCCN2009615426.tif/lossy-page1-500px-Shichirigahama_zu_LCCN2009615426.tif.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Tani, Bunchō, 1763-1840 or 1841, artist",Public domain,,True
鎌倉高校前駅,File:鎌倉高校前駅20190626-P1030495.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/%E9%8E%8C%E5%80%89%E9%AB%98%E6%A0%A1%E5%89%8D%E9%A7%8520190626-P1030495.jpg/500px-%E9%8E%8C%E5%80%89%E9%AB%98%E6%A0%A1%E5%89%8D%E9%A7%8520190626-P1030495.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,くろふね,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,True
鎌倉高校前駅,File:鎌倉高校前駅20190626-P1030485.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/%E9%8E%8C%E5%80%89%E9%AB%98%E6%A0%A1%E5%89%8D%E9%A7%8520190626-P1030485.jpg/500px-%E9%8E%8C%E5%80%89%E9%AB%98%E6%A0%A1%E5%89%8D%E9%A7%8520190626-P1030485.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,くろふね,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,True
鎌倉高校前駅,File:Enoden Kamakura-Kōkō-Mae Platform.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Enoden_Kamakura-K%C5%8Dk%C5%8D-Mae_Platform.jpg/500px-Enoden_Kamakura-K%C5%8Dk%C5%8D-Mae_Platform.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,S.fukasawa from ja.wikipedia.,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,True
銭洗弁財天宇賀福神社,File:Zeniarai Benten shrine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Zeniarai_Benten_shrine.jpg/500px-Zeniarai_Benten_shrine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bernard Gagnon,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,True
銭洗弁財天宇賀福神社,File:銭洗弁財天宇賀福神社 - panoramio (3).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/%E9%8A%AD%E6%B4%97%E5%BC%81%E8%B2%A1%E5%A4%A9%E5%AE%87%E8%B3%80%E7%A6%8F%E7%A5%9E%E7%A4%BE_-_panoramio_%283%29.jpg/500px-%E9%8A%AD%E6%B4%97%E5%BC%81%E8%B2%A1%E5%A4%A9%E5%AE%87%E8%B3%80%E7%A6%8F%E7%A5%9E%E7%A4%BE_-_panoramio_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,comachiangel,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,True
銭洗弁財天宇賀福神社,File:銭洗弁財天宇賀福神社 - panoramio (7).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/%E9%8A%AD%E6%B4%97%E5%BC%81%E8%B2%A1%E5%A4%A9%E5%AE%87%E8%B3%80%E7%A6%8F%E7%A5%9E%E7%A4%BE_-_panoramio_%287%29.jpg/500px-%E9%8A%AD%E6%B4%97%E5%BC%81%E8%B2%A1%E5%A4%A9%E5%AE%87%E8%B3%80%E7%A6%8F%E7%A5%9E%E7%A4%BE_-_panoramio_%287%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,comachiangel,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,True
佐助稲荷神社,File:Sasuke Inari Shrine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Sasuke_Inari_Shrine.jpg/500px-Sasuke_Inari_Shrine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Houze from San Francisco,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,True
佐助稲荷神社,File:Sasuke Inari Shrine stairs.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Sasuke_Inari_Shrine_stairs.jpg/500px-Sasuke_Inari_Shrine_stairs.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Houze from San Francisco,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,True
佐助稲荷神社,File:Sasuke Inari Shrine details.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Sasuke_Inari_Shrine_details.jpg/500px-Sasuke_Inari_Shrine_details.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Houze from San Francisco,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,True
寿福寺,"File:Jufuku-ji, Main Gate 001.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Jufuku-ji%2C_Main_Gate_001.jpg/500px-Jufuku-ji%2C_Main_Gate_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Naokijp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
寿福寺,"File:Jufuku-ji, Main Hall 001.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Jufuku-ji%2C_Main_Hall_001.jpg/500px-Jufuku-ji%2C_Main_Hall_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Naokijp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
寿福寺,"File:Jufuku-ji, Sandō and Middle Gate 001.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Jufuku-ji%2C_Sand%C5%8D_and_Middle_Gate_001.jpg/500px-Jufuku-ji%2C_Sand%C5%8D_and_Middle_Gate_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Naokijp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
葛原岡神社,File:Kuzuharaoka Shrine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Kuzuharaoka_Shrine.jpg/500px-Kuzuharaoka_Shrine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Akonnchiroll,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
葛原岡神社,File:Kuzuharaoka Shrine @ Kamakura (13897668721).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Kuzuharaoka_Shrine_%40_Kamakura_%2813897668721%29.jpg/500px-Kuzuharaoka_Shrine_%40_Kamakura_%2813897668721%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Guilhem Vellut from Annecy, France",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,True
葛原岡神社,File:Kuzuharaoka Shrine @ Kamakura (13921249684).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Kuzuharaoka_Shrine_%40_Kamakura_%2813921249684%29.jpg/500px-Kuzuharaoka_Shrine_%40_Kamakura_%2813921249684%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Guilhem Vellut from Annecy, France",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,True
妙本寺,File:Myōhon-ji temple (Kamakura) 01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/My%C5%8Dhon-ji_temple_%28Kamakura%29_01.jpg/500px-My%C5%8Dhon-ji_temple_%28Kamakura%29_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Davide Mauro,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
妙本寺,File:Myōhon-ji temple (Kamakura) 05.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/My%C5%8Dhon-ji_temple_%28Kamakura%29_05.jpg/500px-My%C5%8Dhon-ji_temple_%28Kamakura%29_05.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Davide Mauro,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
妙本寺,File:Myōhon-ji temple (Kamakura) 06.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/My%C5%8Dhon-ji_temple_%28Kamakura%29_06.jpg/500px-My%C5%8Dhon-ji_temple_%28Kamakura%29_06.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Davide Mauro,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
安国論寺,File:Ankokuron-ji-Kamakura-Buddha2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Ankokuron-ji-Kamakura-Buddha2.jpg/500px-Ankokuron-ji-Kamakura-Buddha2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Tarourashima,Public domain,,True
安国論寺,File:車大路・大町大路合流点（安国論寺付近）.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/%E8%BB%8A%E5%A4%A7%E8%B7%AF%E3%83%BB%E5%A4%A7%E7%94%BA%E5%A4%A7%E8%B7%AF%E5%90%88%E6%B5%81%E7%82%B9%EF%BC%88%E5%AE%89%E5%9B%BD%E8%AB%96%E5%AF%BA%E4%BB%98%E8%BF%91%EF%BC%89.jpg/500px-%E8%BB%8A%E5%A4%A7%E8%B7%AF%E3%83%BB%E5%A4%A7%E7%94%BA%E5%A4%A7%E8%B7%AF%E5%90%88%E6%B5%81%E7%82%B9%EF%BC%88%E5%AE%89%E5%9B%BD%E8%AB%96%E5%AF%BA%E4%BB%98%E8%BF%91%EF%BC%89.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,鎌倉主,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
安国論寺,"File:Ankokuron-ji,-Gate.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Ankokuron-ji%2C-Gate.jpg/500px-Ankokuron-ji%2C-Gate.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,True
光明寺,File:Komyo-ji Main Hall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Komyo-ji_Main_Hall.jpg/500px-Komyo-ji_Main_Hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,True
光明寺,File:Henjōzan Kōmyō-ji Temple 20220505 01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Henj%C5%8Dzan_K%C5%8Dmy%C5%8D-ji_Temple_20220505_01.jpg/500px-Henj%C5%8Dzan_K%C5%8Dmy%C5%8D-ji_Temple_20220505_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,先従隗始,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,True
光明寺,File:Henjōzan Kōmyō-ji Temple 20220324 02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Henj%C5%8Dzan_K%C5%8Dmy%C5%8D-ji_Temple_20220324_02.jpg/500px-Henj%C5%8Dzan_K%C5%8Dmy%C5%8D-ji_Temple_20220324_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,先従隗始,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,True
由比ヶ浜,File:Enoden-EN13-Yuigahama-station-entrance-20200315-150834.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Enoden-EN13-Yuigahama-station-entrance-20200315-150834.jpg/500px-Enoden-EN13-Yuigahama-station-entrance-20200315-150834.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,LERK,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
由比ヶ浜,File:Yuigahama Station (DSCN1164).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Yuigahama_Station_%28DSCN1164%29.jpg/500px-Yuigahama_Station_%28DSCN1164%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Northwest,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
由比ヶ浜,File:Enoden-Yuigahama-station-entrance.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Enoden-Yuigahama-station-entrance.jpg/500px-Enoden-Yuigahama-station-entrance.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,LERK,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,True
荏柄天神社,File:Egara Tenjinsha Haiden.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Egara_Tenjinsha_Haiden.jpg/500px-Egara_Tenjinsha_Haiden.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,True
荏柄天神社,File:荏柄天神社 - panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/%E8%8D%8F%E6%9F%84%E5%A4%A9%E7%A5%9E%E7%A4%BE_-_panoramio.jpg/500px-%E8%8D%8F%E6%9F%84%E5%A4%A9%E7%A5%9E%E7%A4%BE_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,comachiangel,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,True
荏柄天神社,File:荏柄天神社本殿 - panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/%E8%8D%8F%E6%9F%84%E5%A4%A9%E7%A5%9E%E7%A4%BE%E6%9C%AC%E6%AE%BF_-_panoramio.jpg/500px-%E8%8D%8F%E6%9F%84%E5%A4%A9%E7%A5%9E%E7%A4%BE%E6%9C%AC%E6%AE%BF_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,comachiangel,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,True
半僧坊,"File:Hansobo Shrine, Kencho-ji, Kamakura - Mar 11, 2017 (3).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%283%29.jpg/500px-Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,redlegsfan21,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,True
半僧坊,"File:Hansobo Shrine, Kencho-ji, Kamakura - Mar 11, 2017 (1).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%281%29.jpg/500px-Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,redlegsfan21,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,True
半僧坊,"File:Hansobo Shrine, Kencho-ji, Kamakura - Mar 11, 2017 (2).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%282%29.jpg/500px-Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,redlegsfan21,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,True
