from,to,approx,actual,diff,ratio
葛原岡神社,半僧坊,33.0,31.0,2.0,1.06
妙本寺,安国論寺,14.0,13.9,0.1,1.01
妙本寺,光明寺,32.7,26.8,5.9,1.22
妙本寺,由比ヶ浜,34.2,23.7,10.5,1.44
妙本寺,荏柄天神社,23.9,18.1,5.8,1.32
妙本寺,半僧坊,40.5,35.3,5.2,1.15
安国論寺,光明寺,20.1,19.9,0.2,1.01
安国論寺,由比ヶ浜,31.8,22.1,9.7,1.44
安国論寺,荏柄天神社,35.2,26.6,8.6,1.32
安国論寺,半僧坊,54.1,43.8,10.3,1.24
光明寺,由比ヶ浜,27.0,17.0,10.0,1.59
光明寺,荏柄天神社,55.3,41.1,14.2,1.35
光明寺,半僧坊,73.1,57.6,15.5,1.27
由比ヶ浜,荏柄天神社,57.1,38.6,18.5,1.48
由比ヶ浜,半僧坊,67.1,49.4,17.7,1.36
荏柄天神社,半僧坊,23.1,23.7,-0.6,0.97
