name,photo_url,photo_artist,photo_license,photo_license_url,photo_file
鎌倉文学館,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/%E3%83%90%E3%83%A9%E5%9C%92%E3%81%AE%E7%9B%9B%E3%82%8A_-_%E9%8E%8C%E5%80%89%E6%96%87%E5%AD%A6%E9%A4%A8%E3%81%A7%E6%92%AE%E5%BD%B1Pcs34560_IMG1629.jpg/500px-%E3%83%90%E3%83%A9%E5%9C%92%E3%81%AE%E7%9B%9B%E3%82%8A_-_%E9%8E%8C%E5%80%89%E6%96%87%E5%AD%A6%E9%A4%A8%E3%81%A7%E6%92%AE%E5%BD%B1Pcs34560_IMG1629.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,pcs34560,Public domain,,File:バラ園の盛り - 鎌倉文学館で撮影Pcs34560 IMG1629.jpg
光則寺,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Kosokuji20120716.jpg/500px-Kosokuji20120716.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,三人日,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Kosokuji20120716.jpg
極楽寺,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Gokuraku-ji_Kochi_ac_%281%29.jpg/500px-Gokuraku-ji_Kochi_ac_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Asturio Cantabrio,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Gokuraku-ji Kochi ac (1).jpg
成就院,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Kamakura_Joju-in_01.jpg/500px-Kamakura_Joju-in_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Yones,Public domain,,File:Kamakura Joju-in 01.jpg
稲村ヶ崎,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Mt._Fuji_from_Inamuragasaki.jpg/500px-Mt._Fuji_from_Inamuragasaki.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Quercus acuta,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Mt. Fuji from Inamuragasaki.jpg
七里ヶ浜,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Shichirigahama_from_Inamuragasaki.jpg/500px-Shichirigahama_from_Inamuragasaki.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,File:Shichirigahama from Inamuragasaki.jpg
鎌倉高校前駅,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/%E9%8E%8C%E5%80%89%E9%AB%98%E6%A0%A1%E5%89%8D%E9%A7%8520190626-P1030485.jpg/500px-%E9%8E%8C%E5%80%89%E9%AB%98%E6%A0%A1%E5%89%8D%E9%A7%8520190626-P1030485.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,くろふね,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,File:鎌倉高校前駅20190626-P1030485.jpg
銭洗弁財天宇賀福神社,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Zeniarai_Benten_shrine.jpg/500px-Zeniarai_Benten_shrine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bernard Gagnon,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Zeniarai Benten shrine.jpg
佐助稲荷神社,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Sasuke_Inari_Shrine.jpg/500px-Sasuke_Inari_Shrine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Houze from San Francisco,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Sasuke Inari Shrine.jpg
寿福寺,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Jufuku-ji%2C_Main_Gate_001.jpg/500px-Jufuku-ji%2C_Main_Gate_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Naokijp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"File:Jufuku-ji, Main Gate 001.jpg"
葛原岡神社,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Kuzuharaoka_Shrine.jpg/500px-Kuzuharaoka_Shrine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Akonnchiroll,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Kuzuharaoka Shrine.jpg
光明寺,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Komyo-ji_Main_Hall.jpg/500px-Komyo-ji_Main_Hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,File:Komyo-ji Main Hall.jpg
荏柄天神社,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/%E8%8D%8F%E6%9F%84%E5%A4%A9%E7%A5%9E%E7%A4%BE%E6%9C%AC%E6%AE%BF_-_panoramio.jpg/500px-%E8%8D%8F%E6%9F%84%E5%A4%A9%E7%A5%9E%E7%A4%BE%E6%9C%AC%E6%AE%BF_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,comachiangel,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,File:荏柄天神社本殿 - panoramio.jpg
半僧坊,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%281%29.jpg/500px-Hansobo_Shrine%2C_Kencho-ji%2C_Kamakura_-_Mar_11%2C_2017_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,redlegsfan21,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"File:Hansobo Shrine, Kencho-ji, Kamakura - Mar 11, 2017 (1).jpg"
安国論寺,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Ankokuron-ji%2C-Gate.jpg/500px-Ankokuron-ji%2C-Gate.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,"File:Ankokuron-ji,-Gate.jpg"
由比ヶ浜,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Yuigahama_beach_03.jpg/500px-Yuigahama_beach_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Davide Mauro,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Yuigahama beach 03.jpg
浄智寺,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/J%C5%8Dchi-ji_-51304.jpeg/500px-J%C5%8Dchi-ji_-51304.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Syced,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Jōchi-ji -51304.jpeg
妙本寺,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/My%C5%8Dhon-ji_temple_%28Kamakura%29_01.jpg/500px-My%C5%8Dhon-ji_temple_%28Kamakura%29_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Davide Mauro,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Myōhon-ji temple (Kamakura) 01.jpg
