name,円覚寺,明月院,建長寺,東慶寺,浄智寺,鶴岡八幡宮,小町通り,鎌倉国宝館,源頼朝の墓,宝戒寺,報国寺,杉本寺,浄妙寺,瑞泉寺,高徳院,長谷寺,御霊神社,鎌倉文学館,光則寺,極楽寺,成就院,稲村ヶ崎,七里ヶ浜,鎌倉高校前駅,銭洗弁財天宇賀福神社,佐助稲荷神社,寿福寺,葛原岡神社,妙本寺,安国論寺,光明寺,由比ヶ浜,荏柄天神社,半僧坊
七里ヶ浜,81.0,80.2,80.7,76.1,73.5,64.5,57.0,65.2,72.3,65.1,82.4,78.0,83.9,88.0,40.1,36.9,30.5,40.8,37.3,23.5,24.2,16.0,0.0,15.5,57.4,57.7,59.1,62.0,59.8,58.1,53.1,36.3,74.6,85.4
鎌倉高校前駅,90.1,89.0,95.9,84.8,82.2,79.8,72.3,80.5,87.5,80.4,97.7,93.2,99.1,103.2,55.3,52.2,45.7,56.1,52.6,38.8,39.5,31.2,15.5,0.0,69.1,72.9,74.3,71.2,75.0,73.4,68.3,51.6,89.9,100.7
銭洗弁財天宇賀福神社,24.7,24.0,27.7,19.8,17.2,24.2,18.9,24.9,32.2,25.1,42.3,37.9,43.7,47.9,24.4,28.4,29.6,24.6,28.0,37.1,33.8,42.1,57.4,69.1,0.0,5.8,13.5,6.1,27.1,33.9,38.8,25.6,34.5,30.4
佐助稲荷神社,29.8,29.0,32.9,24.9,22.2,29.2,18.5,29.9,37.2,28.3,47.3,42.9,48.7,52.9,24.7,28.7,29.9,24.9,28.3,37.4,34.1,42.4,57.7,72.9,5.8,0.0,18.5,11.2,27.4,34.2,39.1,25.9,39.5,35.6
寿福寺,24.7,23.9,21.1,19.8,17.2,8.8,6.3,9.5,18.8,12.2,28.9,24.5,30.4,34.5,32.7,34.2,35.5,28.6,34.7,39.6,36.4,43.8,59.1,74.3,13.5,18.5,0.0,14.1,17.1,25.3,35.2,26.8,21.2,23.8
葛原岡神社,19.2,18.4,28.3,14.3,11.7,24.8,19.5,25.5,32.8,25.7,42.9,38.5,44.4,48.5,29.1,33.1,34.3,29.3,32.7,41.8,38.5,46.8,62.0,71.2,6.1,11.2,14.1,0.0,30.3,38.4,43.5,30.3,35.1,31.0
妙本寺,42.7,41.9,30.5,37.8,35.2,17.5,11.3,17.3,16.6,13.0,25.9,21.5,27.3,31.5,34.3,32.7,35.7,27.1,33.1,40.3,37.1,44.5,59.8,75.0,27.1,27.4,17.1,30.3,0.0,13.9,26.8,23.7,18.1,35.3
安国論寺,49.6,48.9,39.1,44.7,42.1,24.9,19.5,24.7,25.1,20.4,33.9,30.0,38.6,40.0,34.6,33.0,34.1,30.2,33.4,38.7,35.5,42.9,58.1,73.4,33.9,34.2,25.3,38.4,13.9,0.0,19.9,22.1,26.6,43.8
光明寺,59.6,58.8,52.8,54.7,52.1,36.7,29.4,37.4,39.6,34.9,49.0,44.5,53.8,54.5,32.4,30.6,29.0,28.3,31.0,33.6,30.4,37.8,53.1,68.3,38.8,39.1,35.2,43.5,26.8,19.9,0.0,17.0,41.1,57.6
由比ヶ浜,49.3,48.5,44.6,44.4,41.7,28.5,21.0,29.2,36.3,29.1,46.4,41.9,47.8,52.0,15.7,13.8,12.3,11.6,14.3,16.9,13.7,21.1,36.3,51.6,25.6,25.9,26.8,30.3,23.7,22.1,17.0,0.0,38.6,49.4
荏柄天神社,44.7,40.7,19.0,39.8,37.2,12.8,19.2,12.6,5.0,11.0,12.6,8.2,14.1,16.2,49.1,47.5,50.6,41.9,47.9,55.2,52.0,59.4,74.6,89.9,34.5,39.5,21.2,35.1,18.1,26.6,41.1,38.6,0.0,23.7
半僧坊,24.6,17.0,4.9,23.8,22.4,21.5,29.8,21.3,20.3,25.3,34.4,30.0,35.8,31.4,51.7,58.2,61.4,52.6,55.3,66.0,62.7,70.1,85.4,100.7,30.4,35.6,23.8,31.0,35.3,43.8,57.6,49.4,23.7,0.0
